"Genes"	"regulator"
"FOXC1"	1
"TBC1D22A"	0
"SYNE2"	0
"PLEKHH1"	0
"ATP9A"	0
"CHRDL2"	0
"FAM168A"	0
"RELT"	0
"GALC"	0
"NOP58"	0
"SZRD1"	0
"KCNH2"	0
"CUL1"	0
"FAM114A2"	0
"CYFIP2"	0
"TAB2"	0
"GINM1"	0
"EIF2AK2"	0
"USP36"	0
"KMT2C"	0
"MCOLN3"	0
"PUM2"	0
"MRPL43"	0
"HPF1"	0
"ZFR"	0
"ZNF280C"	1
"TRAF1"	0
"RC3H2"	1
"IL17RB"	0
"TRAF3IP2"	0
"GYG2"	0
"DCBLD2"	0
"SERPINB3"	0
"SOAT1"	0
"PKP2"	0
"GDI2"	0
"PRDM1"	1
"ATG5"	0
"TMCC3"	0
"PITHD1"	0
"MTA3"	1
"USP13"	0
"ATP11B"	0
"LAMC2"	0
"CDK14"	0
"SEC61A1"	0
"PPP1R12A"	0
"RASGRF1"	0
"CAMK2B"	0
"CROCC"	0
"POLR3E"	0
"ATP2B4"	0
"ZC3H11A"	1
"RIOK2"	0
"YIPF1"	0
"NDC1"	0
"DGKG"	0
"FLYWCH1"	0
"UNKL"	1
"TBXAS1"	0
"PARP12"	1
"ALDH18A1"	0
"TARBP1"	0
"GATB"	0
"MXD1"	1
"CDK17"	0
"DNAJC25"	0
"SLC2A3"	0
"PSD"	0
"CTDP1"	0
"YBX3"	1
"STYK1"	0
"WNK1"	0
"CCAR1"	0
"OGFR"	0
"GNA15"	0
"PIGV"	0
"PTPRU"	0
"SNRNP40"	0
"COL11A1"	0
"QSER1"	0
"MPC1"	0
"ACAA1"	0
"BCAT1"	0
"HDAC7"	0
"LZTS1"	0
"PRDM6"	1
"SPAG4"	0
"NCKAP1"	0
"MRPS35"	0
"GUCY1B1"	0
"SFSWAP"	0
"TNK2"	0
"MON2"	0
"CDH3"	0
"GPBP1"	0
"DGAT2"	0
"ZNF112"	0
"CS"	0
"LTK"	0
"MRPS24"	0
"ELMO2"	0
"WAPL"	0
"VMP1"	0
"APPBP2"	0
"POLD1"	0
"EIF4B"	0
"SLC6A16"	0
"BICRA"	0
"SPHK2"	0
"RPL18"	0
"CA11"	0
"ISOC2"	0
"U2AF2"	0
"EPN1"	0
"MED29"	0
"AHRR"	1
"ZNF275"	1
"MTMR1"	0
"GPC1"	0
"ADCK1"	0
"HAGH"	0
"RNF4"	0
"CASP8"	0
"LIMCH1"	0
"INTS13"	0
"TM7SF3"	0
"DLX3"	1
"SPA17"	0
"TSPAN32"	0
"CCN5"	0
"DMRT3"	0
"ST3GAL6"	0
"ATP2C2"	0
"NGFR"	0
"CDON"	0
"TAF2"	0
"HIPK2"	0
"TNPO3"	0
"BORCS8-MEF2B"	0
"RFXANK"	1
"TMEM161A"	0
"LPAR2"	0
"CTSA"	0
"SUGP2"	0
"SLC12A2"	0
"SNX24"	0
"EYA2"	0
"CNN2"	0
"ABCA7"	0
"SNCAIP"	0
"DDX20"	0
"BTBD1"	0
"FAR2"	0
"BCAS1"	0
"CHI3L2"	0
"SBNO2"	0
"PMS1"	0
"HMG20B"	1
"CALCRL"	0
"TAF11"	0
"ANKS1A"	0
"AP3D1"	0
"ZNF76"	1
"SLC9A3R2"	0
"NTHL1"	0
"UHRF1BP1"	0
"GNAI3"	0
"IPO5"	0
"OAT"	0
"WDR3"	0
"PKN2"	0
"WDR18"	0
"TRAM2"	0
"NTN1"	0
"MCM10"	0
"DGKA"	0
"ERBB3"	0
"ANKRD44"	0
"KARS1"	0
"ADAT1"	0
"PDIA5"	0
"TBC1D22B"	0
"NDUFB4"	0
"SPEN"	0
"MYLK"	0
"ZC3H15"	1
"MAP2K4"	0
"PACC1"	0
"SLK"	0
"CYB5R4"	0
"COL17A1"	0
"GSTO2"	0
"SEC61A2"	0
"PRKCQ"	0
"TLE2"	0
"ASB1"	0
"FAM107B"	0
"ME1"	0
"TBC1D1"	0
"CDK13"	0
"MTHFD2"	0
"SLC9A7"	0
"FOXJ2"	1
"YBX1"	1
"PDE4A"	0
